date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:59:43	584/584	---M-Z	200	added ('OK')	text/plain	etag:%2263a-5d32fba7c389f-gzip%22	https://www.uct.ac.za/robots.txt		(from )
14:59:44	182315/182315	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Nov%202022%2009:30:46%20GMT	https://www.uct.ac.za/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web98/Site98/www.uct.ac.za/index.html	(from )
14:59:44	1406/1406	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2257e-5d32fba82c0a0%22	https://www.uct.ac.za/themes/custom/blip_uct/favicon.ico	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web98/Site98/www.uct.ac.za/themes/custom/blip_uct/favicon.ico	(from https://www.uct.ac.za/)
14:59:45	354/354	---M-Z	200	added ('OK')	text/css	etag:%22162-5c1212658f940-gzip%22	https://www.uct.ac.za/modules/contrib/ajax_loader/css/throbber-general.css?rl6buq	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web98/Site98/www.uct.ac.za/modules/contrib/ajax_loader/css/throbber-generald4de.css	(from https://www.uct.ac.za/)
14:59:45	15916/15916	---M-Z	200	added ('OK')	text/css	etag:%223e2c-5e5681e1eb88d-gzip%22	https://www.uct.ac.za/modules/contrib/miniorange_saml/css/miniorange_saml.admin.css?rl6buq	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web98/Site98/www.uct.ac.za/modules/contrib/miniorange_saml/css/miniorange_saml.admind4de.css	(from https://www.uct.ac.za/)
14:59:45	14425/14425	---M-Z	200	added ('OK')	text/css	etag:%223859-5e5681e1ec442-gzip%22	https://www.uct.ac.za/modules/contrib/miniorange_saml/css/miniorange_saml.module.css?rl6buq	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web98/Site98/www.uct.ac.za/modules/contrib/miniorange_saml/css/miniorange_saml.moduled4de.css	(from https://www.uct.ac.za/)
14:59:45	181/181	---M-Z	200	added ('OK')	text/css	etag:%22b5-5d32fba5a7c2a-gzip%22	https://www.uct.ac.za/modules/custom/uct_paragraphs/css/uct_paragraphs.module.css?rl6buq	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web98/Site98/www.uct.ac.za/modules/custom/uct_paragraphs/css/uct_paragraphs.moduled4de.css	(from https://www.uct.ac.za/)
14:59:46	1581/1581	---M-Z	200	added ('OK')	text/css	etag:%2262d-5e9bf211b0ec0-gzip%22	https://www.uct.ac.za/core/assets/vendor/jquery.ui/themes/base/core.css?rl6buq	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web98/Site98/www.uct.ac.za/core/assets/vendor/jquery.ui/themes/base/cored4de.css	(from https://www.uct.ac.za/)
14:59:46	1526/1526	---M-Z	200	added ('OK')	text/css	etag:%225f6-5e9bf211b0ec0-gzip%22	https://www.uct.ac.za/core/assets/vendor/jquery.ui/themes/base/controlgroup.css?rl6buq	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web98/Site98/www.uct.ac.za/core/assets/vendor/jquery.ui/themes/base/controlgroupd4de.css	(from https://www.uct.ac.za/)
14:59:46	789/789	---M-Z	200	added ('OK')	text/css	etag:%22315-5e9bf211b0ec0-gzip%22	https://www.uct.ac.za/core/assets/vendor/jquery.ui/themes/base/checkboxradio.css?rl6buq	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web98/Site98/www.uct.ac.za/core/assets/vendor/jquery.ui/themes/base/checkboxradiod4de.css	(from https://www.uct.ac.za/)
14:59:47	1198/1198	---M-Z	200	added ('OK')	text/css	etag:%224ae-5e9bf211b0ec0-gzip%22	https://www.uct.ac.za/core/assets/vendor/jquery.ui/themes/base/resizable.css?rl6buq	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web98/Site98/www.uct.ac.za/core/assets/vendor/jquery.ui/themes/base/resizabled4de.css	(from https://www.uct.ac.za/)
14:59:47	1497/1497	---M-Z	200	added ('OK')	text/css	etag:%225d9-5e9bf211b0ec0-gzip%22	https://www.uct.ac.za/core/assets/vendor/jquery.ui/themes/base/button.css?rl6buq	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web98/Site98/www.uct.ac.za/core/assets/vendor/jquery.ui/themes/base/buttond4de.css	(from https://www.uct.ac.za/)
14:59:47	1753/1753	---M-Z	200	added ('OK')	text/css	etag:%226d9-5e9bf211b0ec0-gzip%22	https://www.uct.ac.za/core/assets/vendor/jquery.ui/themes/base/dialog.css?rl6buq	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web98/Site98/www.uct.ac.za/core/assets/vendor/jquery.ui/themes/base/dialogd4de.css	(from https://www.uct.ac.za/)
14:59:48	1035/1035	---M-Z	200	added ('OK')	text/css	etag:%2240b-5e9bf211b0ec0-gzip%22	https://www.uct.ac.za/core/themes/stable/css/system/components/ajax-progress.module.css?rl6buq	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web98/Site98/www.uct.ac.za/core/themes/stable/css/system/components/ajax-progress.moduled4de.css	(from https://www.uct.ac.za/)
14:59:48	484/484	---M-Z	200	added ('OK')	text/css	etag:%221e4-5e9bf211b0ec0-gzip%22	https://www.uct.ac.za/core/themes/stable/css/system/components/align.module.css?rl6buq	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web98/Site98/www.uct.ac.za/core/themes/stable/css/system/components/align.moduled4de.css	(from https://www.uct.ac.za/)
14:59:48	611/611	---M-Z	200	added ('OK')	text/css	etag:%22263-5e9bf211b0ec0-gzip%22	https://www.uct.ac.za/core/themes/stable/css/system/components/autocomplete-loading.module.css?rl6buq	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web98/Site98/www.uct.ac.za/core/themes/stable/css/system/components/autocomplete-loading.moduled4de.css	(from https://www.uct.ac.za/)
14:59:49	95/95	---M-Z	200	added ('OK')	text/css	etag:%225f-5e9bf211b0ec0-gzip%22	https://www.uct.ac.za/core/themes/stable/css/system/components/fieldgroup.module.css?rl6buq	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web98/Site98/www.uct.ac.za/core/themes/stable/css/system/components/fieldgroup.moduled4de.css	(from https://www.uct.ac.za/)
14:59:49	222/222	---M-Z	200	added ('OK')	text/css	etag:%22de-5e9bf211b0ec0-gzip%22	https://www.uct.ac.za/core/themes/stable/css/system/components/container-inline.module.css?rl6buq	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web98/Site98/www.uct.ac.za/core/themes/stable/css/system/components/container-inline.moduled4de.css	(from https://www.uct.ac.za/)
14:59:49	306/306	---M-Z	200	added ('OK')	text/css	etag:%22132-5e9bf211b0ec0-gzip%22	https://www.uct.ac.za/core/themes/stable/css/system/components/clearfix.module.css?rl6buq	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web98/Site98/www.uct.ac.za/core/themes/stable/css/system/components/clearfix.moduled4de.css	(from https://www.uct.ac.za/)
14:59:50	127/127	---M-Z	200	added ('OK')	text/css	etag:%227f-5e9bf211b0ec0-gzip%22	https://www.uct.ac.za/core/themes/stable/css/system/components/details.module.css?rl6buq	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web98/Site98/www.uct.ac.za/core/themes/stable/css/system/components/details.moduled4de.css	(from https://www.uct.ac.za/)
14:59:50	1359/1359	---M-Z	200	added ('OK')	text/css	etag:%2254f-5e9bf211b0ec0-gzip%22	https://www.uct.ac.za/core/themes/stable/css/system/components/hidden.module.css?rl6buq	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web98/Site98/www.uct.ac.za/core/themes/stable/css/system/components/hidden.moduled4de.css	(from https://www.uct.ac.za/)
14:59:50	285/285	---M-Z	200	added ('OK')	text/css	etag:%2211d-5e9bf211b0ec0-gzip%22	https://www.uct.ac.za/core/themes/stable/css/system/components/item-list.module.css?rl6buq	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web98/Site98/www.uct.ac.za/core/themes/stable/css/system/components/item-list.moduled4de.css	(from https://www.uct.ac.za/)
14:59:51	402/402	---M-Z	200	added ('OK')	text/css	etag:%22192-5e9bf211b0ec0-gzip%22	https://www.uct.ac.za/core/themes/stable/css/system/components/js.module.css?rl6buq	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web98/Site98/www.uct.ac.za/core/themes/stable/css/system/components/js.moduled4de.css	(from https://www.uct.ac.za/)
14:59:51	96/96	---M-Z	200	added ('OK')	text/css	etag:%2260-5e9bf211b0ec0-gzip%22	https://www.uct.ac.za/core/themes/stable/css/system/components/nowrap.module.css?rl6buq	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web98/Site98/www.uct.ac.za/core/themes/stable/css/system/components/nowrap.moduled4de.css	(from https://www.uct.ac.za/)
14:59:51	95/95	---M-Z	200	added ('OK')	text/css	etag:%225f-5e9bf211b0ec0-gzip%22	https://www.uct.ac.za/core/themes/stable/css/system/components/position-container.module.css?rl6buq	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web98/Site98/www.uct.ac.za/core/themes/stable/css/system/components/position-container.moduled4de.css	(from https://www.uct.ac.za/)
14:59:52	826/826	---M-Z	200	added ('OK')	text/css	etag:%2233a-5e9bf211b0ec0-gzip%22	https://www.uct.ac.za/core/themes/stable/css/system/components/progress.module.css?rl6buq	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web98/Site98/www.uct.ac.za/core/themes/stable/css/system/components/progress.moduled4de.css	(from https://www.uct.ac.za/)
14:59:52	274/274	---M-Z	200	added ('OK')	text/css	etag:%22112-5e9bf211b0ec0-gzip%22	https://www.uct.ac.za/core/themes/stable/css/system/components/reset-appearance.module.css?rl6buq	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web98/Site98/www.uct.ac.za/core/themes/stable/css/system/components/reset-appearance.moduled4de.css	(from https://www.uct.ac.za/)
14:59:52	270/270	---M-Z	200	added ('OK')	text/css	etag:%2210e-5e9bf211b0ec0-gzip%22	https://www.uct.ac.za/core/themes/stable/css/system/components/resize.module.css?rl6buq	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web98/Site98/www.uct.ac.za/core/themes/stable/css/system/components/resize.moduled4de.css	(from https://www.uct.ac.za/)
14:59:53	163/163	---M-Z	200	added ('OK')	text/css	etag:%22a3-5e9bf211b0ec0-gzip%22	https://www.uct.ac.za/core/themes/stable/css/system/components/sticky-header.module.css?rl6buq	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web98/Site98/www.uct.ac.za/core/themes/stable/css/system/components/sticky-header.moduled4de.css	(from https://www.uct.ac.za/)
14:59:53	742/742	---M-Z	200	added ('OK')	text/css	etag:%222e6-5e9bf211b0ec0-gzip%22	https://www.uct.ac.za/core/themes/stable/css/system/components/system-status-counter.css?rl6buq	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web98/Site98/www.uct.ac.za/core/themes/stable/css/system/components/system-status-counterd4de.css	(from https://www.uct.ac.za/)
14:59:53	557/557	---M-Z	200	added ('OK')	text/css	etag:%2222d-5e9bf211b0ec0-gzip%22	https://www.uct.ac.za/core/themes/stable/css/system/components/system-status-report-counters.css?rl6buq	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web98/Site98/www.uct.ac.za/core/themes/stable/css/system/components/system-status-report-countersd4de.css	(from https://www.uct.ac.za/)
14:59:54	255/255	---M-Z	200	added ('OK')	text/css	etag:%22ff-5e9bf211b0ec0-gzip%22	https://www.uct.ac.za/core/themes/stable/css/system/components/system-status-report-general-info.css?rl6buq	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web98/Site98/www.uct.ac.za/core/themes/stable/css/system/components/system-status-report-general-infod4de.css	(from https://www.uct.ac.za/)
14:59:54	1840/1840	---M-Z	200	added ('OK')	text/css	etag:%22730-5e9bf211b0ec0-gzip%22	https://www.uct.ac.za/core/themes/stable/css/system/components/tabledrag.module.css?rl6buq	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web98/Site98/www.uct.ac.za/core/themes/stable/css/system/components/tabledrag.moduled4de.css	(from https://www.uct.ac.za/)
14:59:54	373/373	---M-Z	200	added ('OK')	text/css	etag:%22175-5e9bf211b0ec0-gzip%22	https://www.uct.ac.za/core/themes/stable/css/system/components/tablesort.module.css?rl6buq	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web98/Site98/www.uct.ac.za/core/themes/stable/css/system/components/tablesort.moduled4de.css	(from https://www.uct.ac.za/)
14:59:55	478/478	---M-Z	200	added ('OK')	text/css	etag:%221de-5e9bf211b0ec0-gzip%22	https://www.uct.ac.za/core/themes/stable/css/system/components/tree-child.module.css?rl6buq	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web98/Site98/www.uct.ac.za/core/themes/stable/css/system/components/tree-child.moduled4de.css	(from https://www.uct.ac.za/)
